"i","treeBefore","pw","screen","treeAfter","pwLum","scLum","ret","dTree","dScreen","STALE"
"0","3039","3045","3046","3045","128","128","True","6","-1","False"
"1","3047","3049","3049","3050","128","128","True","2","0","False"
"2","3050","3050","3050","3050","128","128","True","0","0","False"
"3","3050","3051","3051","3050","143","143","True","1","0","False"
"4","3050","3052","3052","3050","128","128","True","2","0","False"
"5","3053","3053","3053","3053","143","143","True","0","0","False"
"6","3053","3054","3054","3053","143","143","True","1","0","False"
"7","3053","3055","3055","3055","159","159","True","2","0","False"
"8","3055","3056","3056","3055","112","112","True","1","0","False"
"9","3055","3057","3057","3055","128","128","True","2","0","False"
"10","3055","3058","3058","3058","128","128","True","3","0","False"
"11","3058","3059","3059","3058","143","143","True","1","0","False"
"12","3058","3060","3060","3058","128","128","True","2","0","False"
"13","3058","3061","3061","3061","143","143","True","3","0","False"
"14","3061","3062","3062","3061","143","143","True","1","0","False"
"15","3061","3063","3063","3061","159","159","True","2","0","False"
"16","3061","3063","3064","3064","159","128","True","2","-1","False"
"17","3064","3065","3064","3064","143","128","True","1","1","False"
"18","3067","3068","3068","3067","143","143","True","1","0","False"
"19","3067","3069","3069","3069","159","159","True","2","0","False"
"20","3069","3070","3070","3069","159","159","True","1","0","False"
"21","3069","3071","3071","3069","175","175","True","2","0","False"
"22","3069","3071","3072","3071","175","32","True","2","-1","False"
"23","3071","3073","3072","3071","48","32","True","2","1","False"
"24","3071","3073","3074","3074","48","48","True","2","-1","False"
"25","3074","3075","3074","3074","64","48","True","1","1","False"
"26","3074","3075","3076","3074","64","48","True","1","-1","False"
"27","3074","3077","3076","3077","64","48","True","3","1","False"
"28","3077","3077","3077","3077","64","64","True","0","0","False"
"29","3077","3078","3078","3077","64","64","True","1","0","False"
"30","3077","3079","3079","3077","80","80","True","2","0","False"
"31","3077","3080","3080","3080","48","48","True","3","0","False"
"32","3080","3081","3081","3080","64","64","True","1","0","False"
"33","3080","3082","3082","3080","64","64","True","2","0","False"
"34","3080","3082","3083","3082","64","80","True","2","-1","False"
"35","3082","3084","3083","3082","64","80","True","2","1","False"
"36","3082","3084","3084","3085","64","64","True","2","0","False"
"37","3085","3085","3085","3085","80","80","True","0","0","False"
"38","3085","3086","3086","3085","80","80","True","1","0","False"
"39","3085","3087","3087","3085","96","96","True","2","0","False"
"40","3085","3088","3088","3088","48","48","True","3","0","False"
"41","3088","3089","3089","3088","64","64","True","1","0","False"
"42","3088","3090","3090","3088","64","64","True","2","0","False"
"43","3088","3091","3090","3091","80","64","True","3","1","False"
"44","3091","3091","3092","3091","80","64","True","0","-1","False"
"45","3091","3093","3092","3091","80","64","True","2","1","False"
"46","3091","3093","3093","3094","80","80","True","2","0","False"
"47","3094","3094","3094","3094","80","80","True","0","0","False"
"48","3094","3095","3095","3094","96","96","True","1","0","False"
"49","3094","3096","3096","3094","64","64","True","2","0","False"
"50","3094","3096","3097","3097","64","80","True","2","-1","False"
"51","3097","3098","3097","3097","80","80","True","1","1","False"
"52","3097","3099","3099","3097","96","96","True","2","0","False"
"53","3097","3100","3099","3100","80","96","True","3","1","False"
"54","3100","3100","3101","3100","80","96","True","0","-1","False"
"55","3100","3102","3101","3100","96","96","True","2","1","False"
"56","3100","3102","3103","3100","96","112","True","2","-1","False"
"57","3103","3104","3103","3103","48","112","True","1","1","False"
"58","3103","3104","3104","3103","48","48","True","1","0","False"
"59","3103","3105","3105","3103","64","64","True","2","0","False"
"60","3103","3106","3106","3106","64","64","True","3","0","False"
"61","3106","3107","3107","3106","80","80","True","1","0","False"
"62","3106","3108","3108","3106","64","64","True","2","0","False"
"63","3106","3109","3109","3109","80","80","True","3","0","False"
"64","3109","3110","3110","3109","80","80","True","1","0","False"
"65","3109","3111","3111","3109","96","96","True","2","0","False"
"66","3109","3112","3112","3112","64","64","True","3","0","False"
"67","3112","3113","3113","3112","80","80","True","1","0","False"
"68","3112","3114","3114","3112","80","80","True","2","0","False"
"69","3112","3115","3114","3115","96","80","True","3","1","False"
"70","3115","3115","3116","3115","96","80","True","0","-1","False"
"71","3115","3117","3116","3115","96","80","True","2","1","False"
"72","3115","3118","3118","3118","96","96","True","3","0","False"
"73","3118","3119","3118","3118","112","96","True","1","1","False"
"74","3118","3119","3119","3118","112","112","True","1","0","False"
"75","3118","3120","3120","3118","64","64","True","2","0","False"
"76","3118","3121","3121","3121","80","80","True","3","0","False"
"77","3121","3122","3122","3121","80","80","True","1","0","False"
"78","3121","3123","3123","3121","96","96","True","2","0","False"
"79","3121","3124","3124","3123","80","80","True","3","0","False"
"80","3123","3125","3125","3123","96","96","True","2","0","False"
"81","3123","3126","3125","3126","96","96","True","3","1","False"
"82","3126","3126","3127","3126","96","112","True","0","-1","False"
"83","3126","3127","3127","3126","112","112","True","1","0","False"
"84","3126","3128","3128","3126","80","80","True","2","0","False"
"85","3126","3129","3129","3129","96","96","True","3","0","False"
"86","3129","3129","3130","3129","96","96","True","0","-1","False"
"87","3129","3131","3130","3129","112","96","True","2","1","False"
"88","3129","3131","3131","3132","112","112","True","2","0","False"
"89","3132","3133","3132","3132","112","96","True","1","1","False"
"90","3132","3133","3133","3132","112","112","True","1","0","False"
"91","3132","3134","3134","3135","112","112","True","2","0","False"
"92","3135","3135","3135","3135","128","128","True","0","0","False"
"93","3135","3136","3136","3135","48","48","True","1","0","False"
"94","3135","3136","3137","3135","48","64","True","1","-1","False"
"95","3135","3138","3137","3138","64","64","True","3","1","False"
"96","3138","3138","3139","3138","64","80","True","0","-1","False"
"97","3138","3140","3139","3138","64","80","True","2","1","False"
"98","3138","3140","3140","3141","64","64","True","2","0","False"
"99","3141","3141","3141","3141","80","80","True","0","0","False"
"100","3141","3142","3142","3141","80","80","True","1","0","False"
"101","3141","3143","3143","3141","96","96","True","2","0","False"
"102","3141","3143","3144","3144","96","64","True","2","-1","False"
"103","3144","3145","3144","3144","80","64","True","1","1","False"
"104","3144","3145","3145","3144","80","80","True","1","0","False"
"105","3144","3146","3146","3147","80","80","True","2","0","False"
"106","3147","3147","3147","3147","96","96","True","0","0","False"
"107","3147","3148","3148","3147","80","80","True","1","0","False"
"108","3147","3148","3149","3147","80","96","True","1","-1","False"
"109","3147","3150","3149","3150","96","96","True","3","1","False"
"110","3150","3150","3151","3150","96","112","True","0","-1","False"
"111","3150","3151","3151","3150","112","112","True","1","0","False"
"112","3150","3152","3152","3152","64","64","True","2","0","False"
"113","3152","3153","3153","3152","80","80","True","1","0","False"
"114","3152","3154","3154","3152","80","80","True","2","0","False"
"115","3152","3155","3155","3155","96","96","True","3","0","False"
"116","3155","3156","3156","3155","80","80","True","1","0","False"
"117","3155","3157","3157","3155","96","96","True","2","0","False"
"118","3155","3157","3158","3158","96","96","True","2","-1","False"
"119","3158","3159","3158","3158","112","96","True","1","1","False"
"120","3158","3159","3160","3158","112","80","True","1","-1","False"
"121","3158","3160","3160","3160","80","80","True","2","0","False"
"122","3160","3161","3161","3160","96","96","True","1","0","False"
"123","3160","3162","3162","3160","96","96","True","2","0","False"
"124","3160","3163","3163","3163","112","112","True","3","0","False"
"125","3163","3164","3164","3163","96","96","True","1","0","False"
"126","3163","3164","3165","3163","96","112","True","1","-1","False"
"127","3163","3166","3165","3165","112","112","True","3","1","False"
"128","3165","3166","3167","3165","112","128","True","1","-1","False"
"129","3165","3168","3167","3168","64","128","True","3","1","False"
"130","3168","3168","3169","3168","64","80","True","0","-1","False"
"131","3168","3170","3169","3168","80","80","True","2","1","False"
"132","3168","3170","3170","3170","80","80","True","2","0","False"
"133","3170","3172","3171","3170","80","96","True","2","1","False"
"134","3170","3172","3172","3170","80","80","True","2","0","False"
"135","3170","3174","3173","3173","96","96","True","4","1","False"
"136","3173","3174","3174","3173","96","96","True","1","0","False"
"137","3173","3175","3175","3173","112","112","True","2","0","False"
"138","3173","3176","3176","3175","80","80","True","3","0","False"
"139","3175","3177","3177","3175","96","96","True","2","0","False"
"140","3175","3178","3178","3178","96","96","True","3","0","False"
"141","3178","3179","3179","3178","112","112","True","1","0","False"
"142","3178","3179","3180","3178","112","96","True","1","-1","False"
"143","3178","3180","3180","3181","96","96","True","2","0","False"
"144","3181","3181","3181","3181","112","112","True","0","0","False"
"145","3181","3182","3182","3181","112","112","True","1","0","False"
"146","3181","3183","3183","3181","128","128","True","2","0","False"
"147","3181","3184","3183","3184","80","128","True","3","1","False"
"148","3184","3184","3185","3184","80","96","True","0","-1","False"
"149","3184","3186","3185","3184","96","96","True","2","1","False"
