"i","treeBefore","pw","screen","treeAfter","pwLum","scLum","ret","dTree","dScreen","STALE"
"0","114","116","116","116","64","64","True","2","0","False"
"1","116","119","118","119","96","80","True","3","1","False"
"2","119","119","120","119","96","64","True","0","-1","False"
"3","119","121","120","119","80","64","True","2","1","False"
"4","119","121","122","122","80","80","True","2","-1","False"
"5","122","123","122","122","96","80","True","1","1","False"
"6","122","123","123","122","96","96","True","1","0","False"
"7","122","124","124","125","80","80","True","2","0","False"
"8","125","125","125","125","96","96","True","0","0","False"
"9","125","126","126","125","96","96","True","1","0","False"
"10","125","127","127","125","112","112","True","2","0","False"
"11","125","128","128","128","16","16","True","3","0","False"
"12","128","128","128","128","16","16","True","0","0","False"
"13","128","130","129","128","32","32","True","2","1","False"
"14","128","130","131","131","32","48","True","2","-1","False"
"15","131","132","131","131","32","48","True","1","1","False"
"16","131","132","132","131","32","32","True","1","0","False"
"17","131","133","133","131","48","48","True","2","0","False"
"18","131","134","134","134","48","48","True","3","0","False"
"19","134","135","135","134","64","64","True","1","0","False"
"20","134","136","136","134","32","32","True","2","0","False"
"21","134","137","137","137","48","48","True","3","0","False"
"22","137","138","138","137","48","48","True","1","0","False"
"23","137","139","139","137","64","64","True","2","0","False"
"24","137","139","140","140","64","48","True","2","-1","False"
"25","140","141","140","140","64","48","True","1","1","False"
"26","140","141","142","140","64","64","True","1","-1","False"
"27","140","143","142","143","80","64","True","3","1","False"
"28","143","143","143","143","80","80","True","0","0","False"
"29","143","144","144","143","32","32","True","1","0","False"
"30","143","145","145","143","48","48","True","2","0","False"
"31","143","146","146","146","48","48","True","3","0","False"
"32","146","147","147","146","64","64","True","1","0","False"
"33","146","148","147","146","48","64","True","2","1","False"
"34","146","148","149","149","48","64","True","2","-1","False"
"35","149","150","149","149","64","64","True","1","1","False"
"36","149","150","150","149","64","64","True","1","0","False"
"37","149","151","151","149","80","80","True","2","0","False"
"38","149","152","152","152","48","48","True","3","0","False"
"39","152","153","153","152","64","64","True","1","0","False"
"40","152","154","154","152","64","64","True","2","0","False"
"41","152","155","154","154","80","64","True","3","1","False"
"42","154","155","156","154","80","64","True","1","-1","False"
"43","154","157","156","157","80","64","True","3","1","False"
"44","157","157","158","157","80","80","True","0","-1","False"
"45","157","159","158","157","96","80","True","2","1","False"
"46","157","159","160","160","96","32","True","2","-1","False"
"47","160","161","160","160","48","32","True","1","1","False"
"48","160","161","162","160","48","48","True","1","-1","False"
"49","160","162","162","163","48","48","True","2","0","False"
"50","163","163","163","163","64","64","True","0","0","False"
"51","163","164","164","163","48","48","True","1","0","False"
"52","163","165","165","163","64","64","True","2","0","False"
"53","163","166","166","166","64","64","True","3","0","False"
"54","166","167","167","166","80","80","True","1","0","False"
"55","166","168","168","166","48","48","True","2","0","False"
"56","166","169","169","169","64","64","True","3","0","False"
"57","169","170","170","169","64","64","True","1","0","False"
"58","169","171","171","169","80","80","True","2","0","False"
"59","169","172","172","172","64","64","True","3","0","False"
"60","172","173","173","172","80","80","True","1","0","False"
"61","172","174","174","172","80","80","True","2","0","False"
"62","172","174","175","175","80","96","True","2","-1","False"
"63","175","176","175","175","48","96","True","1","1","False"
"64","175","176","176","175","48","48","True","1","0","False"
"65","175","177","177","175","64","64","True","2","0","False"
"66","175","178","178","178","64","64","True","3","0","False"
"67","178","179","179","178","80","80","True","1","0","False"
"68","178","180","180","178","64","64","True","2","0","False"
"69","178","181","181","181","80","80","True","3","0","False"
"70","181","182","182","181","80","80","True","1","0","False"
"71","181","183","183","181","96","96","True","2","0","False"
"72","181","183","184","184","96","64","True","2","-1","False"
"73","184","185","184","184","80","64","True","1","1","False"
"74","184","185","186","184","80","80","True","1","-1","False"
"75","184","186","186","187","80","80","True","2","0","False"
"76","187","187","187","187","96","96","True","0","0","False"
"77","187","188","188","187","80","80","True","1","0","False"
"78","187","189","189","187","96","96","True","2","0","False"
"79","187","190","190","190","96","96","True","3","0","False"
"80","190","191","191","190","112","112","True","1","0","False"
"81","190","192","192","190","32","32","True","2","0","False"
"82","190","193","193","193","48","48","True","3","0","False"
"83","193","194","194","193","48","48","True","1","0","False"
"84","193","195","195","193","64","64","True","2","0","False"
"85","193","196","196","196","48","48","True","3","0","False"
"86","196","197","197","196","64","64","True","1","0","False"
"87","196","198","198","196","64","64","True","2","0","False"
"88","196","198","199","199","64","80","True","2","-1","False"
"89","199","200","199","199","48","80","True","1","1","False"
"90","199","200","201","199","48","64","True","1","-1","False"
"91","199","201","201","202","64","64","True","2","0","False"
"92","202","202","202","202","64","64","True","0","0","False"
"93","202","203","203","202","80","80","True","1","0","False"
"94","202","204","204","202","64","64","True","2","0","False"
"95","202","205","205","205","80","80","True","3","0","False"
"96","205","205","206","205","80","80","True","0","-1","False"
"97","205","207","206","205","96","80","True","2","1","False"
"98","205","207","207","208","96","96","True","2","0","False"
"99","208","208","208","208","48","48","True","0","0","False"
"100","208","209","209","208","64","64","True","1","0","False"
"101","208","210","210","208","64","64","True","2","0","False"
"102","208","211","211","211","80","80","True","3","0","False"
"103","211","212","212","211","64","64","True","1","0","False"
"104","211","213","213","211","80","80","True","2","0","False"
"105","211","214","213","214","80","80","True","3","1","False"
"106","214","215","215","214","96","96","True","1","0","False"
"107","214","216","216","214","64","64","True","2","0","False"
"108","214","216","217","217","64","80","True","2","-1","False"
"109","217","217","217","217","80","80","True","0","0","False"
"110","217","218","219","217","80","96","True","1","-1","False"
"111","217","219","219","217","96","96","True","2","0","False"
"112","217","220","220","220","80","80","True","3","0","False"
"113","220","221","221","220","96","96","True","1","0","False"
"114","220","222","222","220","96","96","True","2","0","False"
"115","220","223","222","222","112","96","True","3","1","False"
"116","222","224","224","222","48","48","True","2","0","False"
"117","222","225","224","225","64","48","True","3","1","False"
"118","225","225","226","225","64","64","True","0","-1","False"
"119","225","227","226","225","80","64","True","2","1","False"
"120","225","227","227","228","80","80","True","2","0","False"
"121","228","228","228","228","64","64","True","0","0","False"
"122","228","229","229","228","80","80","True","1","0","False"
"123","228","230","230","228","80","80","True","2","0","False"
"124","228","231","231","231","96","96","True","3","0","False"
"125","231","232","232","231","64","64","True","1","0","False"
"126","231","233","233","231","80","80","True","2","0","False"
"127","231","234","234","234","80","80","True","3","0","False"
"128","234","234","235","234","80","96","True","0","-1","False"
"129","234","236","235","234","80","96","True","2","1","False"
"130","234","236","236","237","80","80","True","2","0","False"
"131","237","237","237","237","96","96","True","0","0","False"
"132","237","238","238","237","96","96","True","1","0","False"
"133","237","239","239","237","112","112","True","2","0","False"
"134","237","240","240","240","64","64","True","3","0","False"
"135","240","241","241","240","80","80","True","1","0","False"
"136","240","242","242","240","80","80","True","2","0","False"
"137","240","243","243","243","96","96","True","3","0","False"
"138","243","243","244","243","96","80","True","0","-1","False"
"139","243","245","244","243","96","80","True","2","1","False"
"140","243","245","245","243","96","96","True","2","0","False"
"141","243","246","246","246","96","96","True","3","0","False"
"142","246","247","247","246","112","112","True","1","0","False"
"143","246","248","248","246","80","80","True","2","0","False"
"144","246","248","249","249","80","96","True","2","-1","False"
"145","249","249","249","249","96","96","True","0","0","False"
"146","249","250","250","249","96","96","True","1","0","False"
"147","249","251","251","249","112","112","True","2","0","False"
"148","249","252","252","252","96","96","True","3","0","False"
"149","252","253","252","252","112","96","True","1","1","False"
"150","252","253","253","252","112","112","True","1","0","False"
"151","252","254","254","255","112","112","True","2","0","False"
"152","255","255","255","255","128","128","True","0","0","False"
"153","255","256","256","255","16","16","True","1","0","False"
"154","255","257","257","255","32","32","True","2","0","False"
"155","255","258","258","258","32","32","True","3","0","False"
"156","258","258","259","258","32","48","True","0","-1","False"
"157","258","260","259","258","32","48","True","2","1","False"
"158","258","260","260","258","32","32","True","2","0","False"
"159","258","261","261","261","48","48","True","3","0","False"
"160","261","262","262","261","48","48","True","1","0","False"
"161","261","263","263","261","64","64","True","2","0","False"
"162","261","263","264","264","64","32","True","2","-1","False"
"163","264","264","264","264","32","32","True","0","0","False"
"164","264","265","265","264","48","48","True","1","0","False"
"165","264","266","266","264","48","48","True","2","0","False"
"166","264","267","267","267","64","64","True","3","0","False"
"167","267","268","267","267","48","64","True","1","1","False"
"168","267","268","269","267","48","64","True","1","-1","False"
"169","267","269","269","270","64","64","True","2","0","False"
"170","270","270","270","270","64","64","True","0","0","False"
"171","270","271","271","270","80","80","True","1","0","False"
"172","270","272","272","270","32","32","True","2","0","False"
"173","270","273","273","273","48","48","True","3","0","False"
"174","273","274","274","273","48","48","True","1","0","False"
"175","273","275","274","273","64","48","True","2","1","False"
"176","273","275","276","276","64","48","True","2","-1","False"
"177","276","277","276","276","64","48","True","1","1","False"
"178","276","277","277","276","64","64","True","1","0","False"
"179","276","278","278","276","64","64","True","2","0","False"
"180","276","278","279","279","64","80","True","2","-1","False"
"181","279","280","279","279","48","80","True","1","1","False"
"182","279","280","280","279","48","48","True","1","0","False"
"183","279","281","281","279","64","64","True","2","0","False"
"184","279","281","282","282","64","64","True","2","-1","False"
"185","282","283","282","282","80","64","True","1","1","False"
"186","282","283","284","282","80","64","True","1","-1","False"
"187","282","284","284","284","64","64","True","2","0","False"
"188","284","285","286","284","80","80","True","1","-1","False"
"189","284","287","286","284","96","80","True","3","1","False"
"190","287","287","288","287","96","32","True","0","-1","False"
"191","287","288","288","287","32","32","True","1","0","False"
"192","287","289","289","287","48","48","True","2","0","False"
"193","287","290","290","290","48","48","True","3","0","False"
"194","290","291","291","290","64","64","True","1","0","False"
"195","290","292","291","290","48","64","True","2","1","False"
"196","290","292","292","292","48","48","True","2","0","False"
"197","292","294","293","292","64","64","True","2","1","False"
"198","292","294","294","295","64","64","True","2","0","False"
"199","295","296","295","295","48","80","True","1","1","False"
