"i","treeBefore","pw","screen","treeAfter","pwLum","scLum","ret","dTree","dScreen","STALE"
"0","923","924","0","926","96","53","True","1","924","False"
"1","929","930","0","929","80","53","True","1","930","False"
"2","929","931","0","932","96","53","True","2","931","False"
"3","932","933","0","932","96","53","True","1","933","False"
"4","932","933","0","932","96","53","True","1","933","False"
"5","932","935","0","935","112","53","True","3","935","False"
"6","935","935","0","935","112","53","True","0","935","False"
"7","935","936","0","935","80","53","True","1","936","False"
"8","935","937","0","935","96","53","True","2","937","False"
"9","935","938","0","938","96","53","True","3","938","False"
"10","938","939","0","938","112","53","True","1","939","False"
"11","938","940","0","938","96","53","True","2","940","False"
"12","938","940","0","941","96","53","True","2","940","False"
"13","941","941","0","941","112","53","True","0","941","False"
"14","941","942","0","941","112","53","True","1","942","False"
"15","941","943","0","941","128","53","True","2","943","False"
"16","941","944","0","944","80","53","True","3","944","False"
"17","944","945","0","944","96","53","True","1","945","False"
"18","944","945","0","944","96","53","True","1","945","False"
"19","944","946","0","947","96","53","True","2","946","False"
"20","947","947","0","947","112","53","True","0","947","False"
"21","947","948","0","947","96","53","True","1","948","False"
"22","947","949","0","947","112","53","True","2","949","False"
"23","947","950","0","950","112","53","True","3","950","False"
"24","950","951","0","950","128","53","True","1","951","False"
"25","950","952","0","950","96","53","True","2","952","False"
"26","950","952","0","953","96","53","True","2","952","False"
"27","953","953","0","953","112","53","True","0","953","False"
"28","953","954","0","953","112","53","True","1","954","False"
"29","953","955","0","953","128","53","True","2","955","False"
"30","953","956","0","956","112","53","True","3","956","False"
"31","956","957","0","956","128","53","True","1","957","False"
"32","956","958","0","956","128","53","True","2","958","False"
"33","956","959","0","959","143","53","True","3","959","False"
"34","959","959","0","959","143","53","True","0","959","False"
"35","959","961","0","959","80","53","True","2","961","False"
"36","959","961","0","961","80","53","True","2","961","False"
"37","961","962","0","961","80","53","True","1","962","False"
"38","961","963","0","961","96","53","True","2","963","False"
"39","961","964","0","964","80","53","True","3","964","False"
"40","964","965","0","964","96","53","True","1","965","False"
"41","964","966","0","964","96","53","True","2","966","False"
"42","964","966","0","967","96","53","True","2","966","False"
"43","967","967","0","967","112","53","True","0","967","False"
"44","967","968","0","967","80","53","True","1","968","False"
"45","967","969","0","967","96","53","True","2","969","False"
"46","967","970","0","970","96","53","True","3","970","False"
"47","970","971","0","970","112","53","True","1","971","False"
"48","970","972","0","970","96","53","True","2","972","False"
"49","970","973","0","973","112","53","True","3","973","False"
"50","973","973","0","973","112","53","True","0","973","False"
"51","973","975","0","973","128","53","True","2","975","False"
"52","973","975","0","976","128","53","True","2","975","False"
"53","976","976","0","976","80","53","True","0","976","False"
"54","976","977","0","976","96","53","True","1","977","False"
"55","976","978","0","976","96","53","True","2","978","False"
"56","976","978","0","979","96","53","True","2","978","False"
"57","979","980","0","979","96","53","True","1","980","False"
"58","979","980","0","979","96","53","True","1","980","False"
"59","979","981","0","979","112","53","True","2","981","False"
"60","979","982","0","982","112","53","True","3","982","False"
"61","982","983","0","982","128","53","True","1","983","False"
"62","982","984","0","982","96","53","True","2","984","False"
"63","982","985","0","984","112","53","True","3","985","False"
"64","984","985","0","984","112","53","True","1","985","False"
"65","984","987","0","984","128","53","True","3","987","False"
"66","987","987","0","987","128","53","True","0","987","False"
"67","987","988","0","987","112","53","True","1","988","False"
"68","987","989","0","987","128","53","True","2","989","False"
"69","987","990","0","990","128","53","True","3","990","False"
"70","990","991","0","990","143","53","True","1","991","False"
"71","990","992","0","990","80","53","True","2","992","False"
"72","990","992","0","993","80","53","True","2","992","False"
"73","993","993","0","993","96","53","True","0","993","False"
"74","993","994","0","993","96","53","True","1","994","False"
"75","993","995","0","993","112","53","True","2","995","False"
"76","993","996","0","995","96","53","True","3","996","False"
"77","995","997","0","995","112","53","True","2","997","False"
"78","995","997","0","998","112","53","True","2","997","False"
"79","998","998","0","998","112","53","True","0","998","False"
"80","998","999","0","998","128","53","True","1","999","False"
"81","998","1000","0","998","96","53","True","2","1000","False"
"82","998","1001","0","1001","112","53","True","3","1001","False"
"83","1001","1002","0","1001","112","53","True","1","1002","False"
"84","1001","1002","0","1001","112","53","True","1","1002","False"
"85","1001","1003","0","1001","128","53","True","2","1003","False"
"86","1001","1004","0","1004","112","53","True","3","1004","False"
"87","1004","1005","0","1004","128","53","True","1","1005","False"
"88","1004","1006","0","1004","128","53","True","2","1006","False"
"89","1004","1007","0","1007","143","53","True","3","1007","False"
"90","1007","1007","0","1007","143","53","True","0","1007","False"
"91","1007","1008","0","1007","96","53","True","1","1008","False"
"92","1007","1009","0","1007","112","53","True","2","1009","False"
"93","1007","1010","0","1010","112","53","True","3","1010","False"
"94","1010","1011","0","1010","128","53","True","1","1011","False"
"95","1010","1012","0","1010","112","53","True","2","1012","False"
"96","1010","1012","0","1013","112","53","True","2","1012","False"
"97","1013","1014","0","1013","128","53","True","1","1014","False"
