"i","ret","pwLum","scLum","pwColours","diffPct","changePct"
"0","True","29","29","58","0",
"1","True","29","29","58","0","0"
"2","True","29","29","58","0","0"
"3","True","29","29","58","0","0"
"4","True","29","29","58","0","0"
"5","True","29","29","58","0","0"
"6","True","29","29","58","0","0"
"7","True","29","29","58","0","0"
"8","True","29","29","58","0","0"
"9","True","29","29","58","0","0"
"10","True","29","29","58","0","0"
"11","True","29","29","58","0","0"
"12","True","29","29","58","0","0"
"13","True","29","29","58","0","0"
"14","True","29","29","58","0","0"
"15","True","29","29","58","0","0"
"16","True","29","29","57","0","6,92"
"17","True","29","29","57","0","0"
"18","True","29","29","56","0","1,08"
"19","True","30","30","58","0","1,25"
"20","True","30","30","57","0","0,92"
"21","True","30","30","57","0","0,92"
"22","True","31","31","59","0","0,92"
"23","True","31","31","59","0","0,58"
"24","True","30","30","59","0","2,17"
"25","True","30","30","59","0","0,83"
"26","True","29","29","59","0","1,25"
"27","True","29","29","59","0","0"
"28","True","30","30","60","0","0,25"
"29","True","29","29","58","0","1,42"
"30","True","29","29","58","0","0,08"
"31","True","29","29","58","0","0,42"
"32","True","30","30","58","0","0,92"
"33","True","28","28","58","0","1"
"34","True","28","28","56","0","0,5"
"35","True","28","28","56","0","0,25"
"36","True","28","28","57","0","0,17"
"37","True","29","29","57","0","0,17"
"38","True","28","28","54","0","0,67"
"39","True","29","29","57","0","0,33"
"40","True","29","29","57","0","0,33"
"41","True","28","28","53","0","1"
"42","True","28","28","50","0","0,92"
"43","True","28","28","50","0","0,25"
"44","True","29","29","50","0","0,08"
"45","True","29","29","50","0","0,08"
"46","True","28","28","48","0","0,75"
"47","True","27","27","48","0","1,08"
"48","True","28","28","50","0","0,25"
"49","True","28","28","51","0","0,08"
"50","True","28","28","51","0","0,17"
"51","True","28","28","53","0","0,83"
"52","True","28","28","54","0","0,33"
"53","True","28","28","54","0","0,08"
"54","True","29","29","54","0","0,25"
"55","True","29","29","55","0","0,25"
"56","True","29","29","56","0","0,25"
"57","True","30","29","58","0,25","0,33"
"58","True","30","30","58","0,25","0"
"59","True","30","30","58","0","0,25"
"60","True","30","30","60","0","0,25"
"61","True","30","30","58","0","0,67"
"62","True","30","30","58","0","0,83"
"63","True","29","29","58","0","1"
"64","True","29","29","58","0","0,25"
"65","True","29","29","58","0","0"
"66","True","29","29","59","0","0,25"
"67","True","29","29","59","0","0,83"
"68","True","29","29","57","0","0,58"
"69","True","29","29","57","0","0,08"
"70","True","29","29","57","0","0,42"
"71","True","30","30","58","0","0,83"
"72","True","28","28","58","0","1"
"73","True","28","28","56","0","0,5"
"74","True","28","28","56","0","0,25"
"75","True","28","28","57","0","0,17"
"76","True","29","29","57","0","0,17"
"77","True","28","28","56","0","0,67"
"78","True","28","28","56","0,33","0"
"79","True","29","29","59","0","0,67"
"80","True","29","29","59","0","0"
"81","True","29","29","55","1,33","1,33"
"82","True","29","29","55","0","0"
"83","True","28","28","53","0","0,92"
"84","True","29","29","53","0","0,25"
"85","True","29","29","53","0","0,08"
"86","True","29","29","53","0","0,08"
"87","True","29","29","51","0","0,75"
"88","True","29","27","51","1,08","0"
"89","True","28","27","53","0,25","1,17"
"90","True","28","28","53","0","0"
"91","True","28","28","54","0","0,08"
"92","True","28","28","54","0","0,17"
"93","True","28","28","52","0","0,75"
"94","True","28","28","53","0","0,33"
"95","True","28","28","53","0","0,08"
"96","True","29","29","53","0","0,25"
"97","True","29","29","54","0","0,25"
"98","True","29","29","55","0","0,25"
"99","True","29","29","56","0","0,08"
