"i","ret","pwLum","scLum","pwColours","diffPct","changePct"
"0","True","31","53","59","100",
"1","True","29","53","60","100","6"
"2","True","29","53","60","100","0"
"3","True","29","53","61","100","1"
"4","True","29","53","59","100","0,58"
"5","True","29","53","59","100","0,08"
"6","True","29","53","59","100","1,33"
"7","True","28","53","59","100","1"
"8","True","28","53","57","100","0,5"
"9","True","28","53","58","100","0,42"
"10","True","28","53","58","100","0,17"
"11","True","28","53","55","100","0,67"
"12","True","28","53","58","100","0,33"
"13","True","29","53","58","100","0,33"
"14","True","28","53","54","100","1"
"15","True","28","53","51","100","1,17"
"16","True","28","53","51","100","0,08"
"17","True","28","53","51","100","0,08"
"18","True","28","53","49","100","0,75"
"19","True","27","53","49","100","1,08"
"20","True","27","53","51","100","0,25"
"21","True","28","53","52","100","0,25"
"22","True","28","53","54","100","0,83"
"23","True","28","53","55","100","0,33"
"24","True","28","53","55","100","0,08"
"25","True","29","53","57","100","0,75"
"26","True","29","53","57","100","0"
"27","True","30","53","59","100","0,33"
"28","True","30","53","59","100","0,25"
"29","True","30","53","61","100","0,25"
"30","True","30","53","59","100","0,67"
"31","True","29","53","59","100","1,67"
"32","True","29","53","59","100","0,25"
"33","True","29","53","59","100","0"
"34","True","29","53","60","100","0,25"
"35","True","29","53","60","100","0,83"
"36","True","29","53","58","100","0,67"
"37","True","29","53","59","100","1,25"
"38","True","28","53","59","100","1"
"39","True","28","53","57","100","0,5"
"40","True","28","53","57","100","0,25"
"41","True","28","53","58","100","0,17"
"42","True","28","53","58","100","0,17"
"43","True","28","53","57","100","0,67"
"44","True","28","53","60","100","0,33"
"45","True","29","53","60","100","0,33"
"46","True","28","53","56","100","1,33"
"47","True","28","53","54","100","0,92"
"48","True","29","53","54","100","0,25"
"49","True","29","53","54","100","0,08"
"50","True","28","53","52","100","0,83"
"51","True","27","53","52","100","1,08"
"52","True","28","53","55","100","0,33"
"53","True","28","53","55","100","0,17"
"54","True","28","53","53","100","0,75"
"55","True","28","53","54","100","0,42"
"56","True","28","53","54","100","0"
"57","True","29","53","55","100","0,5"
"58","True","29","53","55","100","0"
"59","True","29","53","57","100","0,33"
